      #Energy        PDOS
     -58.52628       0.00000
     -58.46428       0.00000
     -58.40228       0.00000
     -58.34028       0.00000
     -58.27828       0.00000
     -58.21628       0.00000
     -58.15428       0.00000
     -58.09228       0.00000
     -58.03028       0.00000
     -57.96728       0.00000
     -57.90528       0.00000
     -57.84328       0.00000
     -57.78128       0.00000
     -57.71928       0.00000
     -57.65728       0.00001
     -57.59528       0.00002
     -57.53328       0.00003
     -57.47128       0.00003
     -57.40928       0.00005
     -57.34728       0.00004
     -57.28528       0.00003
     -57.22328       0.00002
     -57.16128       0.00001
     -57.09928       0.00000
     -57.03728       0.00000
     -56.97428       0.00000
     -56.91228       0.00000
     -56.85028       0.00000
     -56.78828       0.00000
     -56.72628       0.00000
     -56.66428       0.00000
     -56.60228       0.00000
     -56.54028       0.00000
     -56.47828       0.00000
     -56.41628       0.00000
     -56.35428       0.00000
     -56.29228       0.00000
     -56.23028       0.00000
     -56.16828       0.00000
     -56.10628       0.00000
     -56.04428       0.00000
     -55.98128       0.00001
     -55.91928       0.00002
     -55.85728       0.00003
     -55.79528       0.00005
     -55.73328       0.00005
     -55.67128       0.00005
     -55.60928       0.00004
     -55.54728       0.00003
     -55.48528       0.00004
     -55.42328       0.00004
     -55.36128       0.00002
     -55.29928       0.00000
     -55.23728       0.00000
     -55.17528       0.00000
     -55.11328       0.00000
     -55.05128       0.00000
     -54.98828       0.00000
     -54.92628       0.00000
     -54.86428       0.00000
     -54.80228       0.00000
     -54.74028       0.00000
     -54.67828       0.00000
     -54.61628       0.00000
     -54.55428       0.00000
     -54.49228       0.00000
     -54.43028       0.00000
     -54.36828       0.00000
     -54.30628       0.00000
     -54.24428       0.00000
     -54.18228       0.00000
     -54.12028       0.00000
     -54.05828       0.00000
     -53.99528       0.00000
     -53.93328       0.00000
     -53.87128       0.00000
     -53.80928       0.00000
     -53.74728       0.00000
     -53.68528       0.00000
     -53.62328       0.00000
     -53.56128       0.00000
     -53.49928       0.00000
     -53.43728       0.00000
     -53.37528       0.00000
     -53.31328       0.00000
     -53.25128       0.00000
     -53.18928       0.00000
     -53.12728       0.00000
     -53.06528       0.00000
     -53.00228       0.00000
     -52.94028       0.00000
     -52.87828       0.00000
     -52.81628       0.00000
     -52.75428       0.00000
     -52.69228       0.00000
     -52.63028       0.00000
     -52.56828       0.00000
     -52.50628       0.00000
     -52.44428       0.00000
     -52.38228       0.00000
     -52.32028       0.00000
     -52.25828       0.00000
     -52.19628       0.00000
     -52.13428       0.00000
     -52.07228       0.00000
     -52.00928       0.00000
     -51.94728       0.00000
     -51.88528       0.00000
     -51.82328       0.00000
     -51.76128       0.00000
     -51.69928       0.00000
     -51.63728       0.00000
     -51.57528       0.00000
     -51.51328       0.00000
     -51.45128       0.00000
     -51.38928       0.00000
     -51.32728       0.00000
     -51.26528       0.00000
     -51.20328       0.00000
     -51.14128       0.00000
     -51.07928       0.00000
     -51.01628       0.00000
     -50.95428       0.00000
     -50.89228       0.00000
     -50.83028       0.00000
     -50.76828       0.00000
     -50.70628       0.00000
     -50.64428       0.00000
     -50.58228       0.00000
     -50.52028       0.00000
     -50.45828       0.00000
     -50.39628       0.00000
     -50.33428       0.00000
     -50.27228       0.00000
     -50.21028       0.00000
     -50.14828       0.00000
     -50.08628       0.00000
     -50.02328       0.00000
     -49.96128       0.00000
     -49.89928       0.00000
     -49.83728       0.00000
     -49.77528       0.00000
     -49.71328       0.00000
     -49.65128       0.00000
     -49.58928       0.00000
     -49.52728       0.00000
     -49.46528       0.00001
     -49.40328       0.00003
     -49.34128       0.00005
     -49.27928       0.00006
     -49.21728       0.00006
     -49.15528       0.00005
     -49.09328       0.00005
     -49.03128       0.00004
     -48.96828       0.00003
     -48.90628       0.00004
     -48.84428       0.00006
     -48.78228       0.00007
     -48.72028       0.00009
     -48.65828       0.00009
     -48.59628       0.00005
     -48.53428       0.00001
     -48.47228       0.00000
     -48.41028       0.00000
     -48.34828       0.00002
     -48.28628       0.00006
